worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,minimum_wage,fair_wage_estimate,wage_gap,gap_percentage,is_underpaid,fair_wage_gap,fair_wage_gap_pct,gender_discriminated,severity_score,severity_band
1,Uttar Pradesh,Services,Male,Diploma,7,19839,19500,22000,-339,-1.74,0,2161,9.82,0,0.0,
2,Telangana,IT Services,Female,Graduate,5,33827,19500,32000,-14327,-73.47,0,-1827,-5.71,0,0.0,
3,Madhya Pradesh,Manufacturing,Female,5th Pass,13,10666,18000,9000,7334,40.74,1,-1666,-18.51,1,85.5821308979511,Critical (60+)
4,Uttar Pradesh,IT Services,Female,Diploma,0,17700,19500,22000,1800,9.23,1,4300,19.55,0,17.615384615384617,Low (10-30)
5,Haryana,Chemicals,Male,10th Pass,7,16792,20400,14000,3608,17.69,1,-2792,-19.94,0,32.34313725490196,High (30-60)
6,Tamil Nadu,Construction,Male,12th Pass,8,22916,18000,18000,-4916,-27.31,0,-4916,-27.31,0,0.0,
7,Uttar Pradesh,Construction,Male,10th Pass,7,13101,19500,14000,6399,32.82,1,899,6.42,0,44.90769230769231,High (30-60)
8,Telangana,Manufacturing,Male,12th Pass,3,19051,19500,18000,449,2.3,1,-1051,-5.84,0,14.15128205128205,Low (10-30)
9,Gujarat,Textiles,Male,Diploma,15,22138,21600,22000,-538,-2.49,0,-138,-0.63,0,0.0,
10,Tamil Nadu,Construction,Male,5th Pass,9,10629,18000,9000,7371,40.95,1,-1629,-18.1,0,57.35630807698984,High (30-60)
11,Madhya Pradesh,Mining,Male,5th Pass,13,10704,18000,9000,7296,40.53,1,-1704,-18.93,0,48.766666666666666,High (30-60)
12,Assam,Chemicals,Female,10th Pass,8,15699,16800,14000,1101,6.55,1,-1699,-12.14,0,16.276785714285715,Low (10-30)
13,Chhattisgarh,Food Processing,Female,12th Pass,4,18690,22500,18000,3810,16.93,1,-690,-3.83,0,31.96666666666667,High (30-60)
14,West Bengal,Silk,Female,Illiterate,7,7194,20400,7000,13206,64.74,1,-194,-2.77,1,96.37442603705539,Critical (60+)
15,Odisha,Retail,Male,Diploma,10,27607,17500,22000,-10107,-57.75,0,-5607,-25.49,0,0.0,
16,Gujarat,Chemicals,Male,12th Pass,6,19226,21600,18000,2374,10.99,1,-1226,-6.81,0,28.99537037037037,Low (10-30)
17,Maharashtra,Construction,Male,Illiterate,8,10932,20400,7000,9468,46.41,1,-3932,-56.17,0,58.812187623538826,High (30-60)
18,Karnataka,Agriculture,Female,10th Pass,0,9886,21600,14000,11714,54.23,1,4114,29.39,1,100.0,Critical (60+)
19,Uttar Pradesh,Textiles,Male,12th Pass,16,25569,19500,18000,-6069,-31.12,0,-7569,-42.05,0,0.0,
20,Tamil Nadu,Small Manufacturing,Male,10th Pass,10,19693,18000,14000,-1693,-9.41,0,-5693,-40.66,0,0.0,
21,Uttar Pradesh,Construction,Male,Illiterate,9,7786,19500,7000,11714,60.07,1,-786,-11.23,0,81.08541480423759,Critical (60+)
22,Gujarat,Agriculture,Female,Illiterate,17,9616,21600,7000,11984,55.48,1,-2616,-37.37,1,100.0,Critical (60+)
23,Jharkhand,Silk,Female,10th Pass,10,17122,17800,14000,678,3.81,1,-3122,-22.3,0,14.904494382022472,Low (10-30)
24,Karnataka,Agriculture,Female,Illiterate,14,7756,21600,7000,13844,64.09,1,-756,-10.8,1,100.0,Critical (60+)
25,West Bengal,Agriculture,Female,Illiterate,13,7948,20400,7000,12452,61.04,1,-948,-13.54,1,100.0,Critical (60+)
26,Haryana,Services,Male,10th Pass,11,19110,20400,14000,1290,6.32,1,-5110,-36.5,0,16.16176470588235,Low (10-30)
27,Karnataka,Food Processing,Male,5th Pass,14,11036,21600,9000,10564,48.91,1,-2036,-22.62,0,52.9537037037037,High (30-60)
28,Madhya Pradesh,Silk,Female,5th Pass,22,13742,18000,9000,4258,23.66,1,-4742,-52.69,1,51.73404160813382,High (30-60)
29,Punjab,Construction,Male,5th Pass,1,10010,18500,9000,8490,45.89,1,-1010,-11.22,0,59.74867031928133,High (30-60)
30,Uttar Pradesh,Small Manufacturing,Female,Illiterate,11,7401,19500,7000,12099,62.05,1,-401,-5.73,1,100.0,Critical (60+)
31,Jharkhand,Machinery,Male,10th Pass,13,18112,17800,14000,-312,-1.75,0,-4112,-29.37,0,0.0,
32,Karnataka,Construction,Male,12th Pass,15,23697,21600,18000,-2097,-9.71,0,-5697,-31.65,0,0.0,
33,Uttar Pradesh,Mining,Male,12th Pass,12,22827,19500,18000,-3327,-17.06,0,-4827,-26.82,0,0.0,
34,Maharashtra,Textiles,Female,12th Pass,12,14755,20400,18000,5645,27.67,1,3245,18.03,1,52.140125785675366,High (30-60)
35,Maharashtra,Retail,Female,Illiterate,19,11451,20400,7000,8949,43.87,1,-4451,-63.59,1,85.27890291219367,Critical (60+)
36,Karnataka,Food Processing,Female,5th Pass,13,12046,21600,9000,9554,44.23,1,-3046,-33.84,1,84.54820923707528,Critical (60+)
37,Punjab,Metals,Male,12th Pass,11,19299,18500,18000,-799,-4.32,0,-1299,-7.22,0,0.0,
38,Karnataka,Services,Male,12th Pass,3,19891,21600,18000,1709,7.91,1,-1891,-10.51,0,16.95601851851852,Low (10-30)
