worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,min_wage_standard,fair_wage_estimate,wage_gap,gap_percentage,is_underpaid,fair_wage_gap,fair_wage_gap_pct,gender_discriminated
1,Uttar Pradesh,Services,Male,Diploma,7,19839,19500,22000,-339,-1.74,0,2161,9.82,0
2,Telangana,IT Services,Female,Graduate,5,33827,19500,32000,-14327,-73.47,0,-1827,-5.71,0
3,Madhya Pradesh,Manufacturing,Female,5th Pass,13,10666,18000,9000,7334,40.74,1,-1666,-18.51,1
4,Uttar Pradesh,IT Services,Female,Diploma,0,17700,19500,22000,1800,9.23,1,4300,19.55,0
5,Haryana,Chemicals,Male,10th Pass,7,16792,20400,14000,3608,17.69,1,-2792,-19.94,0
6,Tamil Nadu,Construction,Male,12th Pass,8,22916,18000,18000,-4916,-27.31,0,-4916,-27.31,0
7,Uttar Pradesh,Construction,Male,10th Pass,7,13101,19500,14000,6399,32.82,1,899,6.42,0
8,Telangana,Manufacturing,Male,12th Pass,3,19051,19500,18000,449,2.3,1,-1051,-5.84,0
9,Gujarat,Textiles,Male,Diploma,15,22138,21600,22000,-538,-2.49,0,-138,-0.63,0
10,Tamil Nadu,Construction,Male,5th Pass,9,10629,18000,9000,7371,40.95,1,-1629,-18.1,0
11,Madhya Pradesh,Mining,Male,5th Pass,13,10704,18000,9000,7296,40.53,1,-1704,-18.93,0
12,Assam,Chemicals,Female,10th Pass,8,15699,16800,14000,1101,6.55,1,-1699,-12.14,0
13,Chhattisgarh,Food Processing,Female,12th Pass,4,18690,22500,18000,3810,16.93,1,-690,-3.83,0
14,West Bengal,Silk,Female,Illiterate,7,7194,20400,7000,13206,64.74,1,-194,-2.77,1
15,Odisha,Retail,Male,Diploma,10,27607,17500,22000,-10107,-57.75,0,-5607,-25.49,0
16,Gujarat,Chemicals,Male,12th Pass,6,19226,21600,18000,2374,10.99,1,-1226,-6.81,0
17,Maharashtra,Construction,Male,Illiterate,8,10932,20400,7000,9468,46.41,1,-3932,-56.17,0
18,Karnataka,Agriculture,Female,10th Pass,0,9886,21600,14000,11714,54.23,1,4114,29.39,1
